Diagnosis,Specialist,DxGroup
INSOMNIA,Psychiatrist,InsomniaAndOtherSleepDisorders
APPENDICITIS,Generalist,Generalist
OTITIS MEDIA,Otolaryngologist,EarInfections
ABSCESS,InfectiousDiseaseSpecialist,SkinAndSoftTissueInfections
EUSTACHIAN TUBE DYSFUNCTION,Otolaryngologist,OtolaryngologyOther
MONONUCLEOSIS,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
ROSACEA,Dermatologist,Rosacea
MUSCULAR STRAIN,Orthopedist,SprainsAndStrains
CHRONIC BRONCHITIS,Pulmonologist,Bronchitis
ANXIETY,Psychiatrist,AnxietyDisorders
KIDNEY INFECTION,InfectiousDiseaseSpecialist,UTIs
DERMATITIS,Dermatologist,Dermatitis
TESTICULAR TORSION,Urologist,UrologyMenOther
BENIGN PAROXYSMAL POSITIONAL VERTIGO (BPPV),Otolaryngologist,VertigoAndDizziness
ACUTE BRONCHITIS,Pulmonologist,Bronchitis
CERVICAL SPONDYLOSIS,Orthopedist,Osteoarthritis
ORAL THRUSH,InfectiousDiseaseSpecialist,FungalInfections
PREMENSTRUAL SYNDROME (PMS),Gynecologist,Menstrual Conditions
PLEURISY,Pulmonologist,Pleurisy
URTICARIA,Dermatologist,Hives
STRESS OR ANXIETY,Psychiatrist,AnxietyDisorders
VERTIGO,Otolaryngologist,VertigoAndDizziness
STRESS,Psychiatrist,AnxietyDisorders
CONJUNCTIVITIS,Ophthalmologist,Conjunctivitis
DEGENERATIVE DISC DISEASE,Orthopedist,BackPain
CHRONIC FATIGUE SYNDROME (CFS),Rheumatologist,RheumatologyOther
MEDICATION SIDE EFFECT,AdverseReactionSpecialist,AdverseReactionToMedication
GENERALIZED ANXIETY DISORDER (GAD),Psychiatrist,AnxietyDisorders
LYMPHADENITIS,InfectiousDiseaseSpecialist,BacterialInfections
LYMPHOMA,Hematologist,Lymphoma
COLORECTAL CANCER,Gastroenterologist,ColorectalCancer
ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),Psychiatrist,ADHD
ERECTILE DYSFUNCTION,Urologist,ErectileDysfunction
SOCIAL ANXIETY DISORDER,Psychiatrist,AnxietyDisorders
FIBROCYSTIC BREAST CHANGES,Gynecologist,Breast Conditions
ANDROGENETIC ALOPECIA,Dermatologist,Alopecia
GASTROINTESTINAL INFECTION,InfectiousDiseaseSpecialist,GastrointestinalInfections
KIDNEY INFECTION (PYELONEPHRITIS),RenalSpecialist,UTIs
HEPATITIS,InfectiousDiseaseSpecialist,Hepatitis
BIPOLAR DISORDER,Psychiatrist,BipolarDisorder
SPINAL STENOSIS,Orthopedist,BackPain
PATELLOFEMORAL PAIN SYNDROME,Orthopedist,Knee Conditions
GONORRHEA,InfectiousDiseaseSpecialist,STIs
LUMBAR DISC HERNIATION,Orthopedist,BackPain
LYMPHADENOPATHY,Generalist,Generalist
MUSCULOSKELETAL STRAIN,Orthopedist,SprainsAndStrains
ESSENTIAL TREMOR,Neurologist,NeurologyConditionsOther
MELASMA,Dermatologist,DermatologyConditionsOther
BLADDER INFECTION (CYSTITIS),InfectiousDiseaseSpecialist,UTIs
FUNGAL INFECTION,InfectiousDiseaseSpecialist,FungalInfections
URETHRITIS,Urologist,UrologyMenOther
GOUT,Rheumatologist,Gout
MUSCULOSKELETAL PAIN,Orthopedist,SprainsAndStrains
THYROID DISORDER,Endocrinologist,ThyroidDisorders
PEPTIC ULCER,Gastroenterologist,PepticUlcers
CONGESTIVE HEART FAILURE,CardiovascularSpecialist,CongestiveHeartFailure
HYPERTENSION,CardiovascularSpecialist,Hypertension
NASAL POLYPS,Otolaryngologist,NasalPolyps
ROTATOR CUFF TENDINITIS,Orthopedist,ShoulderConditions
DIVERTICULITIS,Gastroenterologist,Diverticulitis
SEBACEOUS CYST,Dermatologist,DermatologyConditionsOther
VIRAL PHARYNGITIS,Otolaryngologist,Pharygitis
DENGUE FEVER,InfectiousDiseaseSpecialist,VectorBorneDiseases
CONSTIPATION,Gastroenterologist,GastrointestinalMotilityDisorders
VAGINAL INFECTION,Gynecologist,VaginalInfections
VASOVAGAL SYNCOPE,CardiovascularSpecialist,Syncope
SEXUALLY TRANSMITTED INFECTION (STI),InfectiousDiseaseSpecialist,STIs
BURSITIS,Orthopedist,Bursitis
TUBERCULOSIS,Pulmonologist,Tuberculosis
PANCREATITIS,Gastroenterologist,Pancreatitis
FOOD INTOLERANCE,Gastroenterologist,GastroenterologyOther
GASTROINTESTINAL ISSUE,Gastroenterologist,GastroenterologyOther
DEEP VEIN THROMBOSIS (DVT),CardiovascularSpecialist,DVT
PERFORMANCE ANXIETY,Psychiatrist,AnxietyDisorders
ACID REFLUX,Gastroenterologist,GERD
CHRONIC KIDNEY DISEASE,RenalSpecialist,ChronicKidneyDisease
HORMONAL ACNE,Dermatologist,Acne
CHRONIC SINUSITIS,Otolaryngologist,Sinusitis
OVARIAN CYSTS,Gynecologist,OvarianCysts
RAYNAUD'S DISEASE,Rheumatologist,RheumatologyOther
STRESS-INDUCED AMENORRHEA,Gynecologist,Amennorrhea
VITAMIN B12 DEFICIENCY,Hematologist,Anemia
LUMBAR STRAIN,Orthopedist,BackPain
INFLAMMATORY BOWEL DISEASE (IBD),Gastroenterologist,InflammatoryBowelDisease
ADJUSTMENT DISORDER,Psychiatrist,AdjustmentDisorder
CORONARY ARTERY DISEASE,CardiovascularSpecialist,CoronaryArteryDisease
PLANTAR FASCIITIS,Orthopedist,OrthopedicConditionsOther
SCABIES,Dermatologist,SkinInfections
VAGINAL YEAST INFECTION,Gynecologist,VaginalInfections
RESTLESS LEGS SYNDROME,Neurologist,RestlessLegsSyndrome
HIATAL HERNIA,Gastroenterologist,GastroenterologyOther
SLEEP DEPRIVATION,Generalist,Generalist
VIRAL GASTROENTERITIS,Gastroenterologist,Gastroenteritis
COMPUTER VISION SYNDROME,Ophthalmologist,OphthalmologyOther
TRAVELER'S DIARRHEA,Gastroenterologist,Diarrhea
DRY SKIN,Dermatologist,DermatologyConditionsOther
NUTRITIONAL DEFICIENCY,Generalist,Generalist
PARKINSON'S DISEASE,Neurologist,ParkinsonsDisease
INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
ALOPECIA AREATA,Dermatologist,Alopecia
THORACIC OUTLET SYNDROME,Orthopedist,OrthopedicConditionsOther
THYROID DYSFUNCTION,Endocrinologist,ThyroidDisorders
INGUINAL HERNIA,Generalist,HerniaDisorders
VARICOCELE,Urologist,UrologyMenOther
IMPETIGO,Dermatologist,SkinInfections
LIVER DISEASE,Gastroenterologist,GastroenterologyOther
CERVICAL POLYPS,Gynecologist,GynecologyOther
POLYCYSTIC OVARY SYNDROME,Gynecologist,PolycysticOvarySyndrome
FUNCTIONAL DYSPEPSIA,Gastroenterologist,GastroenterologyOther
ASTHMA EXACERBATION,Pulmonologist,Asthma
BENIGN PAROXYSMAL POSITIONAL VERTIGO,Otolaryngologist,VertigoAndDizziness
MASTITIS,Gynecologist,Breast Conditions
SINUS HEADACHE,Otolaryngologist,Sinusitis
PHIMOSIS,Urologist,UrologyMenOther
PREMATURE EJACULATION,Urologist,UrologyMenOther
MOLLUSCUM CONTAGIOSUM,Dermatologist,SkinInfections
OVERACTIVE BLADDER,Urologist,Incontinence
GINGIVITIS,Dentist,PeriodontalDisease
ECTOPIC PREGNANCY,Obstetrician,PregnancyConditions
ALLERGIC CONTACT DERMATITIS,Dermatologist,Dermatitis
JOCK ITCH,Dermatologist,SkinInfections
ORCHITIS,Urologist,UrologyMenOther
FORDYCE SPOTS,Dermatologist,DermatologyConditionsOther
LACTOSE INTOLERANCE,Gastroenterologist,MalabsorptionSyndromes
GASTROINTESTINAL ISSUES,Gastroenterologist,GastroenterologyOther
UPPER RESPIRATORY INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
UPPER RESPIRATORY TRACT INFECTION,Pulmonologist,RespiratoryTractInfections-upper-viral
TINNITUS,Otolaryngologist,Tinnitus
ESOPHAGEAL STRICTURE,Gastroenterologist,GastrointestinalStrictures
MÉNIÈRE'S DISEASE,Otolaryngologist,OtolaryngologyOther
TINEA VERSICOLOR,Dermatologist,SkinInfections
RESPIRATORY INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections
VITAMIN D DEFICIENCY,Endocrinologist,EndocrinologyOther
HYPOGLYCEMIA,Endocrinologist,Hypoglycemia
CHLAMYDIA,InfectiousDiseaseSpecialist,STIs
GASTROINTESTINAL OBSTRUCTION,Gastroenterologist,GastroenterologyOther
MALABSORPTION SYNDROME,Gastroenterologist,MalabsorptionSyndromes
MENISCAL TEAR,Orthopedist,Knee Conditions
DEEP VEIN THROMBOSIS,CardiovascularSpecialist,DVT
PULMONARY EMBOLISM,Pulmonologist,PulmonaryEmbolism
GENITAL WARTS,Dermatologist,Warts
KIDNEY STONE,Urologist,KidneyStones
POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME (POTS),CardiovascularSpecialist,Syncope
ANXIETY OR PANIC ATTACK,Psychiatrist,AnxietyDisorders
ATOPIC DERMATITIS,Dermatologist,Dermatitis
HEAT RASH,Dermatologist,Rash
MEDICATION SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToMedication
CARDIAC ARRHYTHMIA,CardiovascularSpecialist,Arrhythmias
INTERSTITIAL CYSTITIS (IC),Urologist,InterstitialCystitis
BARTHOLIN'S CYST,Gynecologist,GynecologyOther
BLEPHARITIS,Ophthalmologist,Conjunctivitis
CUSHING'S SYNDROME,Endocrinologist,AdrenalGlandDisorders
SHOULDER IMPINGEMENT SYNDROME,Orthopedist,ShoulderConditions
TENDINITIS,Orthopedist,Tendonitis
TEMPOROMANDIBULAR JOINT (TMJ) DISORDER,Dentist,TemporomandibularJointDisordersDental
GASTRIC ULCER,Gastroenterologist,PepticUlcers
MALARIA,InfectiousDiseaseSpecialist,Malaria
CONCUSSION,Neurologist,TraumaticBrainInjury
PERIPHERAL ARTERY DISEASE,CardiovascularSpecialist,PeripheralArteryDisease
VITILIGO,Dermatologist,Vitiligo
BORDERLINE PERSONALITY DISORDER,Psychiatrist,PersonalityDisorder
DYSTHYMIA,Psychiatrist,Depression
LARYNGOPHARYNGEAL REFLUX (LPR),Gastroenterologist,GERD
CANDIDIASIS,InfectiousDiseaseSpecialist,FungalInfections
MENISCUS TEAR,Orthopedist,Knee Conditions
PERIPHERAL ARTERY DISEASE (PAD),CardiovascularSpecialist,PeripheralArteryDisease
CERVICAL ECTROPION,Gynecologist,GynecologyOther
CERVICOGENIC HEADACHE,Neurologist,HeadacheOther
THREATENED MISCARRIAGE,Obstetrician,PregnancyConditions
ATRIAL FIBRILLATION,CardiovascularSpecialist,Arrhythmias
MULTIPLE SCLEROSIS (MS),Neurologist,MultipleSclerosis
DENTAL CARIES,Dentist,DentalCaries
DIABETIC NEUROPATHY,Neurologist,Neuropathy
STROKE,Neurologist,Stroke
TENDONITIS,Orthopedist,Tendonitis
ESOPHAGITIS,Gastroenterologist,GERD
NON-ALLERGIC RHINITIS,Otolaryngologist,Rhinitis
ADENOMYOSIS,Gynecologist,Adenomyosis
SYPHILIS,InfectiousDiseaseSpecialist,STIs
TRIGEMINAL NEURALGIA,Neurologist,HeadacheOther
MENOPAUSE,Gynecologist,Menopause
EYE STRAIN,Ophthalmologist,OphthalmologyOther
OTITIS EXTERNA,Otolaryngologist,EarInfections
PEYRONIE'S DISEASE,Urologist,UrologyMenOther
LUPUS,Rheumatologist,SystemicLupusErythematosus
LUMBAR SPINAL STENOSIS,Orthopedist,BackPain
CYST,Dermatologist,DermatologyConditionsOther
HERPES SIMPLEX VIRUS (HSV) INFECTION,InfectiousDiseaseSpecialist,STIs
HYPOGONADISM,Endocrinologist,EndocrinologyOther
SCALP PSORIASIS,Dermatologist,Psoriasis
SYSTEMIC LUPUS ERYTHEMATOSUS,Rheumatologist,SystemicLupusErythematosus
RETINAL DETACHMENT,Ophthalmologist,RetinalCondition
DENTAL ABSCESS,Dentist,ToothAbscess
LEUKEMIA,Hematologist,Leukemia
LUNG CANCER,Pulmonologist,LungCancer
SEBORRHEIC KERATOSIS,Dermatologist,DermatologyConditionsOther
STRESS OR LIFESTYLE FACTORS,Psychiatrist,AnxietyDisorders
CUBITAL TUNNEL SYNDROME,Orthopedist,CarpalTunnelSyndrome
PEPTIC ULCER DISEASE (PUD),Gastroenterologist,PepticUlcers
ANAL FISSURES,Gastroenterologist,AnalandRectalConditions
ASTIGMATISM,Ophthalmologist,Cornea_Condition
CERVICAL POLYP,Gynecologist,GynecologyOther
HYPERHIDROSIS,Dermatologist,DermatologyConditionsOther
STRESS-INDUCED HORMONAL IMBALANCE,Endocrinologist,EndocrinologyOther
OVERACTIVE BLADDER (OAB),Urologist,Incontinence
ANXIETY OR STRESS,Psychiatrist,AnxietyDisorders
INFECTIOUS MONONUCLEOSIS,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
SEXUALLY TRANSMITTED INFECTION,InfectiousDiseaseSpecialist,STIs
MELANOMA,Dermatologist,SkinCancer
FATIGUE,Generalist,Generalist
FROZEN SHOULDER,Orthopedist,ShoulderConditions
CELIAC DISEASE,Gastroenterologist,CeliacDisease
MITRAL VALVE PROLAPSE,CardiovascularSpecialist,MitralValveProlapse
CORNEAL ABRASION,Ophthalmologist,Cornea_Condition
ADJUSTMENT DISORDER WITH DEPRESSED MOOD,Psychiatrist,AdjustmentDisorder
LYME DISEASE,InfectiousDiseaseSpecialist,LymeDisease
THYROIDITIS,Endocrinologist,ThyroidDisorders
RIB FRACTURE,Orthopedist,Fractures
ANGIOEDEMA,Dermatologist,DermatologyConditionsOther
DERMATOFIBROMA,Dermatologist,DermatologyConditionsOther
HEMATOMA,Dermatologist,DermatologyConditionsOther
MUCOCELE,Otolaryngologist,OralLesions
SJÖGREN'S SYNDROME,Rheumatologist,SjogrensSyndrome
STRESS FRACTURE,Orthopedist,Fractures
POST-TRAUMATIC STRESS DISORDER,Psychiatrist,PostTraumaticStressDisorder
SPRAINED ANKLE,Orthopedist,SprainsAndStrains
MENINGITIS,InfectiousDiseaseSpecialist,Meningitis
HYDROCELE,Urologist,UrologyMenOther
ARRHYTHMIA,CardiovascularSpecialist,Arrhythmias
VENOUS INSUFFICIENCY,CardiovascularSpecialist,CardiovascularOther
BENIGN PROSTATIC HYPERPLASIA (BPH),Urologist,BenignProstaticHyperplasia
HIDRADENITIS SUPPURATIVA,Dermatologist,SkinInfections
ANKLE SPRAIN,Orthopedist,SprainsAndStrains
DE QUERVAIN'S TENOSYNOVITIS,Orthopedist,Tendonitis
INTERSTITIAL CYSTITIS,Urologist,InterstitialCystitis
POST-TRAUMATIC STRESS DISORDER (PTSD),Psychiatrist,PostTraumaticStressDisorder
HYPERPIGMENTATION,Dermatologist,DermatologyConditionsOther
FIBROADENOMA,Gynecologist,Breast Conditions
PANIC ATTACK,Psychiatrist,AnxietyDisorders
POST-CONCUSSION SYNDROME,Neurologist,TraumaticBrainInjury
EPILEPSY,Neurologist,Epilepsy
IMPLANTATION BLEEDING,Gynecologist,GynecologyOther
SUNBURN,Dermatologist,Rash
HEART FAILURE,CardiovascularSpecialist,CongestiveHeartFailure
LYMPHEDEMA,Generalist,Generalist
MIGRAINE WITH AURA,Neurologist,Migraine
ACUTE LARYNGITIS,Otolaryngologist,Laryngitis
ANGULAR CHEILITIS,Dermatologist,DermatologyConditionsOther
PSYCHOLOGICAL FACTORS,Psychiatrist,PsychiatryOther
TETANUS,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
MAJOR DEPRESSIVE DISORDER (MDD),Psychiatrist,Depression
VAGINAL ATROPHY,Gynecologist,Menopause
MYASTHENIA GRAVIS,Neurologist,MyastheniaGravis
CYSTIC ACNE,Dermatologist,Acne
INTERTRIGO,Dermatologist,FungalInfections
THYROID NODULE,Endocrinologist,ThyroidNodules
HYPERVENTILATION SYNDROME,Pulmonologist,PulmonologyOther
MALNUTRITION,Generalist,Generalist
ONYCHOMYCOSIS,Dermatologist,SkinInfections
STREPTOCOCCAL PHARYNGITIS,InfectiousDiseaseSpecialist,Pharygitis
ATHLETE'S FOOT,Dermatologist,SkinInfections
VASOMOTOR RHINITIS,Otolaryngologist,Rhinitis
CERVICITIS,Gynecologist,VaginalInfections
GANGLION CYST,Orthopedist,OrthopedicConditionsOther
SALIVARY GLAND INFECTION,Otolaryngologist,OtolaryngologyOther
TARSAL TUNNEL SYNDROME,Orthopedist,OrthopedicConditionsOther
TENNIS ELBOW,Orthopedist,Tendonitis
CERVICAL DISC HERNIATION,Orthopedist,NeckPain
PILONIDAL CYST,Dermatologist,DermatologyConditionsOther
NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD),Gastroenterologist,NonAlcoholicFattyLiverDisease
DIABETES INSIPIDUS,Endocrinologist,EndocrinologyOther
IRON-DEFICIENCY ANEMIA,Hematologist,Anemia
ANAL ABSCESS,Gastroenterologist,AnalandRectalConditions
ANXIETY OR STRESS-RELATED SYMPTOMS,Psychiatrist,AnxietyDisorders
RESTLESS LEG SYNDROME,Neurologist,RestlessLegsSyndrome
BELL'S PALSY,Neurologist,BellsPalsy
GEOGRAPHIC TONGUE,Otolaryngologist,OralLesions
HEPATITIS C,Gastroenterologist,Hepatitis
HIP BURSITIS,Orthopedist,Bursitis
VITAMIN DEFICIENCY,Generalist,Generalist
ACHILLES TENDINITIS,Orthopedist,Tendonitis
TUBERCULOSIS (TB),Pulmonologist,Tuberculosis
IDIOPATHIC THROMBOCYTOPENIC PURPURA (ITP),Hematologist,Thrombocytopenia
LUMBAR HERNIATED DISC,Orthopedist,BackPain
PEARLY PENILE PAPULES,Dermatologist,DermatologyConditionsOther
BREAST ABSCESS,InfectiousDiseaseSpecialist,SkinAndSoftTissueInfections
DENTAL INFECTION,Dentist,OralInfections
NERVE IMPINGEMENT,Orthopedist,OrthopedicConditionsOther
BRUXISM (TEETH GRINDING),Dentist,TemporomandibularJointDisordersDental
GASTROESOPHAGEAL REFLUX DISEASE,Gastroenterologist,GERD
NEPHROTIC SYNDROME,RenalSpecialist,NephroticSyndrome
BACTERIAL VAGINOSIS (BV),Gynecologist,VaginalInfections
BLADDER INFECTION,InfectiousDiseaseSpecialist,UTIs
KIDNEY DISEASE,RenalSpecialist,Kidney Disease
PERIODONTITIS,Dentist,PeriodontalDisease
TINEA CAPITIS,Dermatologist,SkinInfections
BACTERIAL INFECTION,InfectiousDiseaseSpecialist,BacterialInfections
GYNECOMASTIA,Endocrinologist,Gynecomastia
TENSION HEADACHES,Neurologist,HeadacheOther
CONTUSION,Orthopedist,SprainsAndStrains
ROTATOR CUFF TEAR,Orthopedist,ShoulderConditions
BENIGN FASCICULATION SYNDROME,Neurologist,NeurologyConditionsOther
HEPATITIS A,InfectiousDiseaseSpecialist,Hepatitis
MOTION SICKNESS,Otolaryngologist,VertigoAndDizziness
STRESS AND ANXIETY,Psychiatrist,AnxietyDisorders
STRESS-RELATED SYMPTOMS,Psychiatrist,AnxietyDisorders
DIABETES (TYPE 2),Endocrinologist,DiabetesMellitus
GASTROINTESTINAL DISORDER,Gastroenterologist,GastroenterologyOther
GASTROPARESIS,Gastroenterologist,GastrointestinalMotilityDisorders
GUILLAIN-BARRÉ SYNDROME,Neurologist,NeurologyConditionsOther
HYPOTENSION,CardiovascularSpecialist,Hypotension
MISCARRIAGE,Obstetrician,PregnancyConditions
PARONYCHIA,Dermatologist,SkinInfections
PIRIFORMIS SYNDROME,Orthopedist,OrthopedicConditionsOther
COLITIS,Gastroenterologist,InflammatoryBowelDisease
HERNIA,Generalist,Generalist
HIV,InfectiousDiseaseSpecialist,HIV_AIDS
ACANTHOSIS NIGRICANS,Dermatologist,DermatologyConditionsOther
IRRITANT CONTACT DERMATITIS,Dermatologist,Dermatitis
PRETERM LABOR,Obstetrician,PregnancyConditions
GLAUCOMA,Ophthalmologist,Glaucoma
HORMONAL CHANGES,Endocrinologist,EndocrinologyOther
INFLUENZA (FLU),InfectiousDiseaseSpecialist,Influenza
MYOPIA,Ophthalmologist,Refractive Error
TOOTH DECAY,Dentist,DentalCaries
HYPERTENSIVE CRISIS,CardiovascularSpecialist,Hypertension
WRIST SPRAIN,Orthopedist,SprainsAndStrains
HYPERSEXUALITY,Psychiatrist,PsychiatryOther
NON-ALCOHOLIC FATTY LIVER DISEASE,Gastroenterologist,NonAlcoholicFattyLiverDisease
ALZHEIMER'S DISEASE,Neurologist,Dementia
MENORRHAGIA,Gynecologist,AbnormalUterineBleeding
OBSESSIVE-COMPULSIVE DISORDER (OCD),Psychiatrist,ObsessiveCompulsiveDisorder
STRESS-RELATED HORMONAL IMBALANCE,Endocrinologist,EndocrinologyOther
VAGINAL DRYNESS,Gynecologist,Menopause
MYOFASCIAL PAIN SYNDROME,Orthopedist,OrthopedicConditionsOther
PERIANAL ABSCESS,Dermatologist,SkinAndSoftTissueInfections
CERVICAL STRAIN,Orthopedist,SprainsAndStrains
LEUKOPLAKIA,Otolaryngologist,OralLesions
OPTIC NEURITIS,Ophthalmologist,OphthalmologyOther
SLEEP DISORDER,Neurologist,InsomniaAndOtherSleepDisorders
TYPE 2 DIABETES,Endocrinologist,DiabetesMellitus
MILIA,Dermatologist,DermatologyConditionsOther
ACHALASIA,Gastroenterologist,GastrointestinalMotilityDisorders
EXERCISE-INDUCED ASTHMA,Pulmonologist,Asthma
NOISE-INDUCED HEARING LOSS,Otolaryngologist,HearingLoss
RABIES,InfectiousDiseaseSpecialist,ZoonoticDiseases
ADDISON'S DISEASE,Endocrinologist,AdrenalGlandDisorders
GALLBLADDER DISEASE,Gastroenterologist,Gallstones
MORTON'S NEUROMA,Orthopedist,OrthopedicConditionsOther
MUSCULAR DYSTROPHY,Neurologist,NeurodegenerativeDisorders
OSTEOPOROSIS,Endocrinologist,Osteoporosis
HEAT EXHAUSTION,Generalist,Generalist
INCOMPLETE ABORTION,Obstetrician,PregnancyConditions
PRURITUS ANI,Dermatologist,Pruritus
VULVODYNIA,Gynecologist,VulvarConditionsOther
DEVIATED SEPTUM,Otolaryngologist,DeviatedSeptum
FIBROMA,Dermatologist,DermatologyConditionsOther
INSECT BITE OR STING,Dermatologist,Insect_StingorBiteorReaction
PYELONEPHRITIS,RenalSpecialist,UTIs
